"","N","Ind. W0","Ind. W1","Ind. Diff."
"1",0,0,0,0
"ind.w0",200,0.9994,0.9242,0.641
"ind.w01",202,0.9994,0.8434,0.5798
"ind.w02",204,0.999599919983997,0.84496899379876,0.639727945589118
"ind.w03",206,0.9998,0.8542,0.6238
"ind.w04",208,0.9998,0.8392,0.6184
"ind.w05",210,1,0.8654,0.6636
"ind.w06",212,0.9998,0.8672,0.6664
"ind.w07",214,1,0.881176235247049,0.677935587117424
"ind.w08",216,0.9998,0.9054,0.7092
"ind.w09",218,0.9998,0.9184,0.729
"ind.w010",220,0.9998,0.9174,0.7248
"ind.w011",222,1,0.91,0.7286
"ind.w012",224,1,0.936174469787915,0.749899959983994
"ind.w013",226,1,0.9398,0.7716
"ind.w014",228,1,0.952380952380952,0.770708283313325
"ind.w015",230,1,0.9602,0.7736
"ind.w016",232,1,0.9624,0.7986
"ind.w017",234,1,0.9698,0.8296
"ind.w018",236,1,0.9718,0.8214
"ind.w019",238,1,0.978195639127826,0.837567513502701
"ind.w020",240,1,0.979,0.8334
"ind.w021",242,1,0.9794,0.839
"ind.w022",244,1,0.981,0.8478
"ind.w023",246,1,0.977795559111822,0.850170034006801
"ind.w024",248,1,0.9866,0.8446
"ind.w025",250,1,0.986,0.853
"ind.w026",252,1,0.9872,0.8746
"ind.w027",254,1,0.9854,0.8766
"ind.w028",256,1,0.9828,0.8702
"ind.w029",258,1,0.9832,0.8798
"ind.w030",260,1,0.9878,0.8748
"ind.w031",262,1,0.9862,0.8616
"ind.w032",264,1,0.988,0.891
"ind.w033",266,1,0.98879775955191,0.887977595519104
"ind.w034",268,1,0.989,0.8872
"ind.w035",270,1,0.992,0.901
"ind.w036",272,1,0.990198039607922,0.907381476295259
"ind.w037",274,1,0.9922,0.8994
"ind.w038",276,1,0.9942,0.9046
"ind.w039",278,1,0.9912,0.8894
"ind.w040",280,1,0.9962,0.9104
"ind.w041",282,1,0.997198879551821,0.906762705082033
"ind.w042",284,1,0.995399079815963,0.924184836967394
"ind.w043",286,1,0.9952,0.924
"ind.w044",288,1,0.9976,0.9228
"ind.w045",290,1,0.9952,0.9162
"ind.w046",292,1,0.996799359871974,0.924784956991398
"ind.w047",294,1,0.9972,0.9182
"ind.w048",296,1,0.997,0.9166
"ind.w049",298,1,0.9976,0.9188
"ind.w050",300,1,0.996,0.924
